Accession	Length	Clade	Isolate	loc	Collection_Date	Host	clade_simple	fragment	cluster
MN534894	11802	AL_Indian-Sub	RABV_Nepal_2018	Nepal	2018	Homo sapiens	AL_Indian-Sub	WGS	4183
MN233968	11926	AL_Arctic_A		Canada	2008	Vulpes vulpes	Arctic_Clade	WGS	4915
MK467464	592	AL_Cosmopolitan_AF1b	383-96	South Africa	1996	Proteles cristata	Cosmopolitan_Clade	G	7228
MK467466	592	AL_Cosmopolitan_AF1b	414-98	South Africa	1998	Proteles cristata	Cosmopolitan_Clade	G	0
MK467468	592	AL_Cosmopolitan_AF1b	302-00	South Africa	2000	Proteles cristata	Cosmopolitan_Clade	G	7237
MK467478	592	AL_Cosmopolitan_AF1b	228-07	South Africa	2007	Proteles cristata	Cosmopolitan_Clade	G	7148
MK467481	592	AL_Cosmopolitan_AF1b	718-09	South Africa	2009	Proteles cristata	Cosmopolitan_Clade	G	0
MK467487	592	AL_Cosmopolitan_AF1b	320-13	South Africa	2013	Proteles cristata	Cosmopolitan_Clade	G	7172
MK467490	592	AL_Cosmopolitan_AF1b	619-14	South Africa	2014	Proteles cristata	Cosmopolitan_Clade	G	7233
MK467510	592	AL_Cosmopolitan_AF1b	305-17	South Africa	2017	Proteles cristata	Cosmopolitan_Clade	G	7238
MK467514	592	AL_Cosmopolitan_AF1b	630-16	South Africa	2016	Otocyon megalotis	Cosmopolitan_Clade	G	0
MN196568	400	AL_Africa-2	29Enugu	Nigeria	2016	Canis familiaris	AL_Africa-2	N	4237
MN196576	400	AL_Africa-2	16Enugu	Nigeria	2016	Canis familiaris	AL_Africa-2	N	0
MN726816	11598	AL_Cosmopolitan_AF1b	CR020_field	Kenya	2018	Capra hircus	Cosmopolitan_Clade	WGS	6612
MN726833	11821	AL_Cosmopolitan_AF1b	SD641	Tanzania	2017	Canis lupus familiaris	Cosmopolitan_Clade	WGS	0
MN726880	11653	AL_Asian_SEA4	REGION_5_2019-1	Philippines	2019	Canis lupus familiaris	Asian_Clade	WGS	4197
MG407546	400	AL_Cosmopolitan_AF1b	ZANcap28/17	Tanzania	2017	Capra hircus	Cosmopolitan_Clade	N	6743
MK760712	11722	AL_Cosmopolitan_CA1	92-134	Iran	2013	jackal	Cosmopolitan_Clade	WGS	0
MK760726	11722	AL_Cosmopolitan_ME1a	92-335	Iran	2013	jackal	Cosmopolitan_Clade	WGS	5097
MK760735	11727	AL_Arctic	92-406	Iran	2014	Canis lupus familiaris	Arctic_Clade	WGS	4921
MK760747	11722	AL_Cosmopolitan_CA2	93-A-182	Iran	2014	Canis lupus	Cosmopolitan_Clade	WGS	5083
MK760761	11725	AL_Arctic	93-A-52	Iran	2014	Canis lupus familiaris	Arctic_Clade	WGS	0
MK540805	11923	AL_RAC-SK	ON.2016.0002R	Canada	2016	Procyon lotor	AL_RAC-SK	WGS	0
LC380091	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	7637
LC380092	461	AL_Cosmopolitan_AF1b		Zambia	2014	Bos taurus	Cosmopolitan_Clade	N	7534
LC380094	461	AL_Cosmopolitan_AF1b		Zambia	2015	Canis lupus familiaris	Cosmopolitan_Clade	N	7644
LC380100	461	AL_Cosmopolitan_AF1b		Zambia	2000	Canis lupus familiaris	Cosmopolitan_Clade	N	6668
LC380101	461	AL_Cosmopolitan_AF1b		Zambia	2005	Bos taurus	Cosmopolitan_Clade	N	0
LC380102	461	AL_Cosmopolitan_AF1b		Zambia	2006	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380103	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	7618
LC380106	461	AL_Cosmopolitan_AF1b		Zambia	2013	Bos taurus	Cosmopolitan_Clade	N	6919
LC380109	461	AL_Cosmopolitan_AF1b		Zambia	2013	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380115	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380118	461	AL_Cosmopolitan_AF1b		Zambia	2014	Jackal	Cosmopolitan_Clade	N	0
LC380128	461	AL_Cosmopolitan_AF1b		Zambia	2005	Sus scrofa	Cosmopolitan_Clade	N	0
LC380129	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	6928
LC380130	461	AL_Cosmopolitan_AF1b		Zambia	2015	Canis lupus familiaris	Cosmopolitan_Clade	N	7639
LC380132	461	AL_Cosmopolitan_AF1b		Zambia	2000	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380133	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	7629
LC380134	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380143	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380144	461	AL_Cosmopolitan_AF1b		Zambia	2014	Bos taurus	Cosmopolitan_Clade	N	0
LC380146	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380147	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380148	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Bos taurus	Cosmopolitan_Clade	N	0
LC380149	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	7643
LC380150	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380151	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Capra hircus	Cosmopolitan_Clade	N	0
LC380152	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380153	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380154	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Bos taurus	Cosmopolitan_Clade	N	0
LC380155	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Bos taurus	Cosmopolitan_Clade	N	0
LC380156	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380158	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380159	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380160	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
LC380161	609	AL_Cosmopolitan_AF1b		Zambia	1999	Canis lupus familiaris	Cosmopolitan_Clade	G	7130
LC380169	609	AL_Cosmopolitan_AF1b		Zambia	2013	Canis lupus familiaris	Cosmopolitan_Clade	G	7174
LC380180	609	AL_Cosmopolitan_AF1b		Zambia	2012	Canis lupus familiaris	Cosmopolitan_Clade	G	6506
LC380194	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	7168
LC380195	609	AL_Cosmopolitan_AF1b		Zambia	2001	Canis lupus familiaris	Cosmopolitan_Clade	G	0
LC380198	609	AL_Cosmopolitan_AF1b		Zambia	2015	Bos taurus	Cosmopolitan_Clade	G	0
LC380199	609	AL_Cosmopolitan_AF1b		Zambia	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	7203
LC380201	609	AL_Cosmopolitan_AF1b		Zambia	2013	Canis lupus familiaris	Cosmopolitan_Clade	G	6688
LC380203	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	7235
LC380204	609	AL_Cosmopolitan_AF1b		Zambia	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	6686
LC380206	609	AL_Cosmopolitan_AF1b		Zambia	2000	Canis lupus familiaris	Cosmopolitan_Clade	G	0
LC380208	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	7151
LC380211	609	AL_Cosmopolitan_AF1b		Zambia	2000	Canis lupus familiaris	Cosmopolitan_Clade	G	7144
LC380217	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	0
LC380218	609	AL_Cosmopolitan_AF1b		Zambia	2014	Bos taurus	Cosmopolitan_Clade	G	6512
LC380220	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	0
LC380224	609	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	7677
LC380225	609	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	7528
LC380228	609	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	7652
LC380229	609	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Bos taurus	Cosmopolitan_Clade	G	0
LC380232	609	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	7621
MK234794	272	AL_Africa-2	RABV-BILL	Nigeria	2016	Canis lupus familiaris; male	AL_Africa-2	N	0
MK144831	399	AL_Africa-2	RV004NGR	Nigeria	2014	Canis familiaris	AL_Africa-2	N	4446
MK471246	1353	AL_Africa-2	1557-2IZSVe	Guinea	2018	Canis lupus familiaris	AL_Africa-2	N	0
MK471247	1353	AL_Africa-2	1557-4IZSVe	Guinea	2018	Canis lupus familiaris	AL_Africa-2	N	0
MK471248	1353	AL_Africa-2	1557-5IZSVe	Guinea	2018	Canis lupus familiaris	AL_Africa-2	N	0
MK471249	1575	AL_Africa-2	IZSVe_1557-2	Guinea	2018	Canis lupus familiaris	AL_Africa-2	G	0
MK471250	1575	AL_Africa-2	IZSVe-1557-4	Guinea	2018	Canis lupus familiaris	AL_Africa-2	G	4221
MK471251	1575	AL_Africa-2	IZSVe_1557-5	Guinea	2018	Canis lupus familiaris	AL_Africa-2	G	0
KY952220	11925	AL_Arctic_AL2	CQHm2016 D/China/2016	China	2016	Canis familiaris	Arctic_Clade	WGS	0
KY982922	11925	AL_Arctic_AL2	CQHy2014D150/China/2014	China	2014	Canis familiaris	Arctic_Clade	WGS	0
MK577649	11924	AL_Asian_SEA1b		China	2015	Ovis aries	Asian_Clade	WGS	4187
MF425797	592	AL_Cosmopolitan_AF1b	ZW204/14	Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	7679
MF425799	592	AL_Cosmopolitan_AF1b	ZW341/14	Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	7125
MF425807	592	AL_Cosmopolitan_AF1b	ZW307/15	Zimbabwe	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	7578
MF425809	592	AL_Cosmopolitan_AF1b	ZW424/15	Zimbabwe	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	7654
MF425812	592	AL_Cosmopolitan_AF1b	ZW515/15	Zimbabwe	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	0
KY124536	1353	AL_Africa-2	15034TCH	Chad	2012	Canis familiaris	AL_Africa-2	N	4302
KY681401	592	AL_Cosmopolitan_AF1b	15/495	South Africa	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	0
KY681410	592	AL_Cosmopolitan_AF1b	15/643	South Africa	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	7795
MH481710	1575	AL_Africa-2	IZSVe_18RD/666-4	Liberia	2017	Canis familiaris	AL_Africa-2	G	4839
MG562594	11924	AL_RAC-SK	VT.2009.0137	United States	2009	Equus caballus	AL_RAC-SK	WGS	0
MF781074	1353	AL_Cosmopolitan_AF1a		Russia	2012	-	Cosmopolitan_Clade	N	0
MF773574	292	AL_Africa-2	CD/54	Nigeria	2013	Canis familiaris	AL_Africa-2	N	0
KY860591	11924	AL_Cosmopolitan_ME2	RV2979	Turkey	2008	Vulpes vulpes	Cosmopolitan_Clade	WGS	5089
KY860611	11923	AL_Cosmopolitan_ME1a	RV1134	Turkey	2001	Canis familiaris	Cosmopolitan_Clade	WGS	0
MG458309	11923	AL_Cosmopolitan_YUGCOW	RV1185	Serbia	1978	Canis familiaris	Cosmopolitan_Clade	WGS	0
MG458318	11918	AL_Cosmopolitan_AF1b	RV2481	South Africa	2008	Homo sapiens	Cosmopolitan_Clade	WGS	0
MG458319	11925	AL_Cosmopolitan	RV2854	Grenada	2012	mongoose	Cosmopolitan_Clade	WGS	0
KY553255	1353	AL_Africa-3	RV1044	Zimbabwe	1994	Civettictis civetta	AL_Africa-3	N	0
KY553258	1353	AL_Cosmopolitan_AF1b	639_09	South Africa	2009	Civettictis civetta	Cosmopolitan_Clade	N	7325
KY553259	1353	AL_Cosmopolitan_AF1b	698_91	South Africa	1991	Civettictis civetta	Cosmopolitan_Clade	N	7265
KY553260	1353	AL_Cosmopolitan_AF1b	731_02	South Africa	2002	Civettictis civetta	Cosmopolitan_Clade	N	7483
KY553261	1353	AL_Cosmopolitan_AF1b	732_94	South Africa	1994	Civettictis civetta	Cosmopolitan_Clade	N	7220
KY553266	1353	AL_Africa-3	19671	Zimbabwe	1991	Civettictis civetta	AL_Africa-3	N	0
KY553267	1353	AL_Cosmopolitan_AF1b	20246	Zimbabwe	1992	Civettictis civetta	Cosmopolitan_Clade	N	0
KY553268	1353	AL_Cosmopolitan_AF1b	20607	Zimbabwe	1992	Civettictis civetta	Cosmopolitan_Clade	N	7221
KY553269	1353	AL_Cosmopolitan_AF1b	20639	Zimbabwe	1992	Civettictis civetta	Cosmopolitan_Clade	N	0
KY553271	1353	AL_Cosmopolitan_AF1b	22759	Zimbabwe	1994	Civettictis civetta	Cosmopolitan_Clade	N	0
KY553272	1353	AL_Cosmopolitan_AF1b	RV589	Zimbabwe	1992	Mellivora capensis	Cosmopolitan_Clade	N	7214
KY553274	1575	AL_Cosmopolitan_AF1b	150_05G	South Africa	2005	Civettictis civetta	Cosmopolitan_Clade	G	7517
KY553275	1575	AL_Cosmopolitan_AF1b	834_06G	South Africa	2006	Civettictis civetta	Cosmopolitan_Clade	G	7514
KY553278	1575	AL_Africa-3	19671G	Zimbabwe	1991	Civettictis civetta	AL_Africa-3	G	0
KY553279	1575	AL_Cosmopolitan_AF1b	20607G	Zimbabwe	1992	mongoose	Cosmopolitan_Clade	G	0
KY553280	1575	AL_Cosmopolitan_AF1b	RV332G	Zimbabwe	1990	Civettictis civetta	Cosmopolitan_Clade	G	0
KY553282	1575	AL_Cosmopolitan_AF1b	RV589G	Zimbabwe	1991	Mellivora capensis	Cosmopolitan_Clade	G	0
MF538629	1353	AL_Africa-2	15041TCH	Chad	2014	Canis familiaris	AL_Africa-2	N	0
MF538631	1353	AL_Africa-2	15044TCH	Chad	2015	Canis familiaris	AL_Africa-2	N	4378
KY210223	11914	AL_Cosmopolitan_AF1b	rv2497	Tanzania	2007	Canis familiaris	Cosmopolitan_Clade	WGS	0
KY210228	11856	AL_Cosmopolitan_AF1b	rv2866	Tanzania	2011	Capra hircus	Cosmopolitan_Clade	WGS	0
KY210256	11923	AL_Cosmopolitan_AF1b	rv3061	Tanzania	2013	Canis familiaris	Cosmopolitan_Clade	WGS	6638
KY210262	11923	AL_Cosmopolitan_AF1b	rv3070	Tanzania	2013	Capra hircus	Cosmopolitan_Clade	WGS	6893
KY210275	11914	AL_Cosmopolitan_AF1b	rv3087	Tanzania	2013	Bos taurus	Cosmopolitan_Clade	WGS	0
KY210280	11923	AL_Cosmopolitan_AF1b	rv3096	Tanzania	2012	Canis familiaris	Cosmopolitan_Clade	WGS	0
KY210281	11923	AL_Cosmopolitan_AF1b	rv3097	Tanzania	2012	Canis familiaris	Cosmopolitan_Clade	WGS	6619
KY210284	11914	AL_Cosmopolitan_AF1b	rv3101	Tanzania	2012	Jackal	Cosmopolitan_Clade	WGS	6644
KY210285	11923	AL_Cosmopolitan_AF1b	rv3102	Tanzania	2012	Capra hircus	Cosmopolitan_Clade	WGS	6625
MF537519	1040	AL_Cosmopolitan_AF1a	16V-608_CEN_NTU	Cameroon	2016	Canis lupus familiaris	Cosmopolitan_Clade	N	5229
MF537547	1040	AL_Cosmopolitan_AF1a	16V-1728_CEN_SAA	Cameroon	2016	Canis lupus familiaris	Cosmopolitan_Clade	N	5234
MF537558	1040	AL_Cosmopolitan_AF1a	12V-1395_CEN_SAA	Cameroon	2012	Canis lupus familiaris	Cosmopolitan_Clade	N	5232
MF537574	1040	AL_Cosmopolitan_AF1a	10V-3476_WES_PEN	Cameroon	2010	Canis lupus familiaris	Cosmopolitan_Clade	N	5187
MF537575	1040	AL_Cosmopolitan_AF1b	14V-4292_EAS_GAR	Cameroon	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	0
MF537578	1040	AL_Africa-2	14V-6432_SOW_KUM	Cameroon	2014	Canis lupus familiaris	AL_Africa-2	N	4392
MF197285	592	AL_Cosmopolitan_AF1b	16/388	South Africa	2016	Canis lupus familiaris	Cosmopolitan_Clade	G	7808
MF197287	592	AL_Cosmopolitan_AF1b	201/12	Lesotho	2012	Bos taurus	Cosmopolitan_Clade	G	7803
MF197290	592	AL_Cosmopolitan_AF1b	145/12	Lesotho	2012	Bos taurus	Cosmopolitan_Clade	G	7786
MF197294	592	AL_Cosmopolitan_AF1b	07/13	Lesotho	2013	Bos taurus	Cosmopolitan_Clade	G	7783
MF197298	592	AL_Cosmopolitan_AF1b	08/14	Lesotho	2014	Bos taurus	Cosmopolitan_Clade	G	7804
MF197302	592	AL_Cosmopolitan_AF1b	45b/14	Lesotho	2014	Bos taurus	Cosmopolitan_Clade	G	7796
MF197304	592	AL_Cosmopolitan_AF1b	24/15	Lesotho	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	7791
MF197306	592	AL_Cosmopolitan_AF1b	30/15	Lesotho	2015	Ovis aries	Cosmopolitan_Clade	G	7800
MF143247	11924	AL_RAC-SK	NB.2015.0359	Canada	2015	Procyon lotor	AL_RAC-SK	WGS	0
MF143384	11923	AL_RAC-SK	VT.2007.0479	United States	2007	skunk	AL_RAC-SK	WGS	0
KX708503	11793	AL_Cosmopolitan_AM2a		Mexico	2014	Canis familiaris	Cosmopolitan_Clade	WGS	5070
KY563715	1575	AL_Cosmopolitan_AF1b	22547	Zimbabwe	1994	Canis familiaris	Cosmopolitan_Clade	G	0
KY563717	1353	AL_Cosmopolitan_AF1b	22547	Zimbabwe	1994	Canis familiaris	Cosmopolitan_Clade	N	0
KY775603	11928	AL_Arctic_AL1a	IGU-R201-Nilgai	India	2014	nilgai	Arctic_Clade	WGS	4924
KM262037	592	AL_Cosmopolitan_AF1b	MOZdg298.93	Mozambique	1993	Canis familiaris	Cosmopolitan_Clade	G	0
KM262040	592	AL_Cosmopolitan_AF1b	MOZdg633.00	Mozambique	2000	Canis familiaris	Cosmopolitan_Clade	G	0
KM262041	592	AL_Cosmopolitan_AF1b	MOZdg315.04	Mozambique	2004	Canis familiaris	Cosmopolitan_Clade	G	0
KM262042	592	AL_Cosmopolitan_AF1b	MOZdg232.05	Mozambique	2005	Canis familiaris	Cosmopolitan_Clade	G	7690
KM262043	592	AL_Cosmopolitan_AF1b	MOZdg558.05	Mozambique	2005	Canis familiaris	Cosmopolitan_Clade	G	7694
KM262044	592	AL_Cosmopolitan_AF1b	MOZdg659.05	Mozambique	2005	Canis familiaris	Cosmopolitan_Clade	G	0
KM262046	592	AL_Cosmopolitan_AF1b	MOZfel131.12	Mozambique	2012	Felis catus	Cosmopolitan_Clade	G	0
KX148100	11922	AL_Bats_DR	09035FRA	French Guiana	2009	Stenodermatinae sp.	Bat_Clade	WGS	0
KX148101	11923	AL_Cosmopolitan_AF4	86092EGY	Egypt	1979	Homo sapiens	Cosmopolitan_Clade	WGS	5063
KX148103	11922	AL_Cosmopolitan_AF1b	87021AFS	South Africa	1981	Homo sapiens	Cosmopolitan_Clade	WGS	0
KX148104	11923	AL_Cosmopolitan_YUGCOW	86058YOU	Montenegro	1978	Bos taurus	Cosmopolitan_Clade	WGS	0
KX148107	11923	AL_Africa-2	86097BEN	Benin	1986	Felis catus	AL_Africa-2	WGS	4560
KX148109	11923	AL_Bats_DR	86117BRE	Brazil	1986	Canis familiaris	Bat_Clade	WGS	0
KX148116	11802	AL_Cosmopolitan_CE	96256POL	Poland	1996	Vulpes vulpes	Cosmopolitan_Clade	WGS	5118
KX148123	11801	AL_Cosmopolitan_CE	92017GER	Germany	1991	Vulpes vulpes	Cosmopolitan_Clade	WGS	0
KX148132	11801	AL_Cosmopolitan_WE	94094SLN	Slovenia	1994	Vulpes vulpes	Cosmopolitan_Clade	WGS	5116
KX148135	11801	AL_Cosmopolitan_WE	92001GER	Germany	1991	Vulpes vulpes	Cosmopolitan_Clade	WGS	0
KX148136	11800	AL_Cosmopolitan_EE	93083HON	Hungary	1993	Vulpes vulpes	Cosmopolitan_Clade	WGS	5111
KX148155	11801	AL_Cosmopolitan_NEE	93041EST	Estonia	1993	Vulpes vulpes	Cosmopolitan_Clade	WGS	0
