Accession	Length	Clade	Isolate	loc	Collection_Date	Host	clade_simple	fragment	region23	cluster
MZ418056	726	AL_Cosmopolitan_AF1a	ETH1312DGOROLIYU15	Ethiopia	2015	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
MZ418073	726	AL_Cosmopolitan_AF1a	ETH1354DGADKOLFEKERANIO15	Ethiopia	2015	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	3962
MZ418086	726	AL_Cosmopolitan_AF1a	ETH1560FXAMHARANWOLLO16	Ethiopia	2016	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
MZ418091	726	AL_Cosmopolitan_AF1a	ETH1291DGSNNPRAMBA15	Ethiopia	2015	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	3935
MZ418095	726	AL_Cosmopolitan_AF1a	ETH1452DGSNNPRAZENA16	Ethiopia	2016	Canis familiaris	Cosmopolitan_Clade	N	Eastern Africa	5138
MZ418100	726	AL_Cosmopolitan_AF1a	ETH1555FXADADDISKETEMA15	Ethiopia	2015	side-stripped jackal	Cosmopolitan_Clade	N	Eastern Africa	3932
MT370503	561	AL_Africa-2	20RD-308-4	Benin	2018	Canis familiaris	AL_Africa-2	N	Western Africa	4432
MW553267	320	AL_Cosmopolitan_AF1a		Gabon	2019	Homo sapiens	Cosmopolitan_Clade	L	Middle Africa	4938
MW055047	277	AL_Cosmopolitan_AF1b	201110175	Kenya	2018	Bos taurus	Cosmopolitan_Clade	G	Eastern Africa	7434
MW055048	1575	AL_Cosmopolitan_AF1b	2011100176	Kenya	2018	Bos taurus	Cosmopolitan_Clade	G	Eastern Africa	0
MW055052	1575	AL_Cosmopolitan_AF1a	Z0826363	Kenya	2018	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	5115
MW074784	345	AL_Cosmopolitan_AF1b	2011100176	Kenya	2018	Bos taurus	Cosmopolitan_Clade	N	Eastern Africa	0
MW074786	301	AL_Cosmopolitan_AF1b	2011100176	Kenya	2018	Bos taurus	Cosmopolitan_Clade	N	Eastern Africa	0
MW074787	234	AL_Cosmopolitan_AF1a	Z0826364	Kenya	2018	Bos taurus	Cosmopolitan_Clade	N	Eastern Africa	0
MK858226	579	AL_Cosmopolitan_AF1b	SPU288/88	South Africa	1988	Homo sapiens	Cosmopolitan_Clade	N	Southern Africa	7367
MN602878	592	AL_Cosmopolitan_AF1b	ZIMjackal355/17	Zimbabwe	2017	Canis mesomelas	Cosmopolitan_Clade	G	Eastern Africa	7522
MN049979	1353	AL_Africa-2	17013LIB	Liberia	2017	Canis familiaris	AL_Africa-2	N	Western Africa	0
MN049980	1353	AL_Africa-2	18009LIB	Liberia	2018	Canis familiaris	AL_Africa-2	N	Western Africa	0
MN049981	1353	AL_Africa-2	18008LIB	Liberia	2018	Canis familiaris	AL_Africa-2	N	Western Africa	4538
MN049984	1353	AL_Africa-2	18018LIB	Liberia	2018	Canis familiaris	AL_Africa-2	N	Western Africa	0
MT454632	11902	AL_Cosmopolitan_AF1b	155/15	South Africa	2015	Proteles cristata	Cosmopolitan_Clade	WGS	Southern Africa	6380
MT454636	11923	AL_Cosmopolitan_AF1b	516/16	South Africa	2016	Canis lupus familiaris	Cosmopolitan_Clade	WGS	Southern Africa	6952
MT454637	11923	AL_Cosmopolitan_AF1b	583/16	South Africa	2016	Canis lupus familiaris	Cosmopolitan_Clade	WGS	Southern Africa	0
MT454644	11923	AL_Cosmopolitan_AF1b	368/17	South Africa	2017	Canis lupus familiaris	Cosmopolitan_Clade	WGS	Southern Africa	0
MT454645	11922	AL_Cosmopolitan_AF1b	400/17	South Africa	2017	Canis lupus familiaris	Cosmopolitan_Clade	WGS	Southern Africa	6528
MK598342	11799	AL_Cosmopolitan_CA3	44190	Hungary	2009	Vulpes vulpes	Cosmopolitan_Clade	WGS	Eastern Europe	4899
MK598345	11798	AL_Cosmopolitan_EE	2690	Hungary	2010	Vulpes vulpes	Cosmopolitan_Clade	WGS	Eastern Europe	4908
MK598391	11798	AL_Cosmopolitan_NEE	9435	Hungary	2014	Vulpes vulpes	Cosmopolitan_Clade	WGS	Eastern Europe	4905
MN534895	11792	AL_Arctic_AL3	RABV_Nepal_2019	Nepal	2019	Homo sapiens	Arctic_Clade	WGS	Southern Asia	4691
MK467461	592	AL_Cosmopolitan_AF1b	08-94	South Africa	1994	Proteles cristata	Cosmopolitan_Clade	G	Southern Africa	6328
MK467468	592	AL_Cosmopolitan_AF1b	302-00	South Africa	2000	Proteles cristata	Cosmopolitan_Clade	G	Southern Africa	7573
MK467477	592	AL_Cosmopolitan_AF1b	578-06	South Africa	2006	Proteles cristata	Cosmopolitan_Clade	G	Southern Africa	7530
MK467479	592	AL_Cosmopolitan_AF1b	404-07	South Africa	2007	Proteles cristata	Cosmopolitan_Clade	G	Southern Africa	7559
MK467481	592	AL_Cosmopolitan_AF1b	718-09	South Africa	2009	Proteles cristata	Cosmopolitan_Clade	G	Southern Africa	0
MK467497	592	AL_Cosmopolitan_AF1b	551-15	South Africa	2015	Proteles cristata	Cosmopolitan_Clade	G	Southern Africa	6536
MK467514	592	AL_Cosmopolitan_AF1b	630-16	South Africa	2016	Otocyon megalotis	Cosmopolitan_Clade	G	Southern Africa	0
MK467520	592	AL_Cosmopolitan_AF1b	368-17	South Africa	2017	Otocyon megalotis	Cosmopolitan_Clade	G	Southern Africa	6425
MN099706	1539	AL_Cosmopolitan		Nigeria	2017	mouse	Cosmopolitan_Clade	G	Western Africa	4845
MN196576	400	AL_Africa-2	16Enugu	Nigeria	2016	Canis familiaris	AL_Africa-2	N	Western Africa	0
MN726814	11846	AL_Cosmopolitan_AF1b	M009_field	Kenya	2018	feline	Cosmopolitan_Clade	WGS	Eastern Africa	7422
MN726820	11819	AL_Cosmopolitan_AF1b	SD683	Tanzania	2017	Felis catus	Cosmopolitan_Clade	WGS	Eastern Africa	7749
MG407551	400	AL_Cosmopolitan_AF1b	ZANfel33/17	Tanzania	2017	Felis catus	Cosmopolitan_Clade	N	Eastern Africa	7709
MK111075	11874	AL_Cosmopolitan_Vac		Hungary	2015	Vulpes vulpes	Cosmopolitan_Clade	WGS	Eastern Europe	0
MK760679	11722	AL_Cosmopolitan_CA2	87-44	Iran	2008	Canis lupus familiaris	Cosmopolitan_Clade	WGS	Southern Asia	4920
MK760687	11722	AL_Cosmopolitan_ME1a	88-27	Iran	2009	Canis lupus familiaris	Cosmopolitan_Clade	WGS	Southern Asia	4893
MK760723	11722	AL_Cosmopolitan_CA1	92-287	Iran	2013	Canis lupus familiaris	Cosmopolitan_Clade	WGS	Southern Asia	4901
MK760729	11727	AL_Arctic	92-351	Iran	2014	Canis lupus familiaris	Arctic_Clade	WGS	Southern Asia	0
MK541001	11926	AL_Arctic_A	ON.2017.0103BOV	Canada	2017	Bos taurus	Arctic_Clade	WGS	Northern America	4686
LC380092	461	AL_Cosmopolitan_AF1b		Zambia	2014	Bos taurus	Cosmopolitan_Clade	N	Eastern Africa	6732
LC380093	461	AL_Cosmopolitan_AF1b		Zambia	2015	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	6740
LC380094	461	AL_Cosmopolitan_AF1b		Zambia	2015	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	6780
LC380101	461	AL_Cosmopolitan_AF1b		Zambia	2005	Bos taurus	Cosmopolitan_Clade	N	Eastern Africa	0
LC380102	461	AL_Cosmopolitan_AF1b		Zambia	2006	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380105	461	AL_Cosmopolitan_AF1b		Zambia	2013	Bos taurus	Cosmopolitan_Clade	N	Eastern Africa	7394
LC380109	461	AL_Cosmopolitan_AF1b		Zambia	2013	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380110	461	AL_Cosmopolitan_AF1b		Zambia	2012	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380115	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380120	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380121	461	AL_Cosmopolitan_AF1b		Zambia	2001	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380128	461	AL_Cosmopolitan_AF1b		Zambia	2005	Sus scrofa	Cosmopolitan_Clade	N	Eastern Africa	0
LC380130	461	AL_Cosmopolitan_AF1b		Zambia	2015	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	6776
LC380133	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380134	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380135	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	6118
LC380139	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	6736
LC380142	461	AL_Cosmopolitan_AF1b		Zambia	2015	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	6783
LC380143	461	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380144	461	AL_Cosmopolitan_AF1b		Zambia	2014	Bos taurus	Cosmopolitan_Clade	N	Eastern Africa	0
LC380146	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380149	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	6782
LC380152	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380153	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380155	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Bos taurus	Cosmopolitan_Clade	N	Eastern Africa	0
LC380156	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380159	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	6738
LC380160	461	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Eastern Africa	0
LC380164	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	7565
LC380181	609	AL_Cosmopolitan_AF1b		Zambia	2012	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	6090
LC380187	609	AL_Cosmopolitan_AF1b		Zambia	2012	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	7557
LC380188	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
LC380191	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	7531
LC380195	609	AL_Cosmopolitan_AF1b		Zambia	2001	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
LC380198	609	AL_Cosmopolitan_AF1b		Zambia	2015	Bos taurus	Cosmopolitan_Clade	G	Eastern Africa	0
LC380202	609	AL_Cosmopolitan_AF1b		Zambia	2005	Sus scrofa	Cosmopolitan_Clade	G	Eastern Africa	7642
LC380204	609	AL_Cosmopolitan_AF1b		Zambia	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	7631
LC380206	609	AL_Cosmopolitan_AF1b		Zambia	2000	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
LC380207	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	7551
LC380208	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	7584
LC380213	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
LC380214	609	AL_Cosmopolitan_AF1b		Zambia	2015	Canis Adustus	Cosmopolitan_Clade	G	Eastern Africa	6097
LC380217	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
LC380219	609	AL_Cosmopolitan_AF1b		Zambia	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	6099
LC380220	609	AL_Cosmopolitan_AF1b		Zambia	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
LC380222	609	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	6755
LC380223	609	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Bos taurus	Cosmopolitan_Clade	G	Eastern Africa	6747
LC380226	609	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
LC380229	609	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Bos taurus	Cosmopolitan_Clade	G	Eastern Africa	0
LC380235	609	AL_Cosmopolitan_AF1b		Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	6790
MK234794	272	AL_Africa-2	RABV-BILL	Nigeria	2016	Canis lupus familiaris; male	AL_Africa-2	N	Western Africa	4213
MK471246	1353	AL_Africa-2	1557-2IZSVe	Guinea	2018	Canis lupus familiaris	AL_Africa-2	N	Western Africa	0
MK471247	1353	AL_Africa-2	1557-4IZSVe	Guinea	2018	Canis lupus familiaris	AL_Africa-2	N	Western Africa	0
MK471249	1575	AL_Africa-2	IZSVe_1557-2	Guinea	2018	Canis lupus familiaris	AL_Africa-2	G	Western Africa	0
MK471250	1575	AL_Africa-2	IZSVe-1557-4	Guinea	2018	Canis lupus familiaris	AL_Africa-2	G	Western Africa	0
MK471251	1575	AL_Africa-2	IZSVe_1557-5	Guinea	2018	Canis lupus familiaris	AL_Africa-2	G	Western Africa	4580
KY982922	11925	AL_Arctic_AL2	CQHy2014D150/China/2014	China	2014	Canis familiaris	Arctic_Clade	WGS	Eastern Asia	0
KY997452	11928	AL_Arctic_AL2	CQHy2014DY/China/2014	China	2014	Canis familiaris	Arctic_Clade	WGS	Eastern Asia	0
MH660455	13152	AL_Cosmopolitan_Vac		Germany	2017	-	Cosmopolitan_Clade	WGS	Western Europe	0
MF425797	592	AL_Cosmopolitan_AF1b	ZW204/14	Zimbabwe	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
MF425807	592	AL_Cosmopolitan_AF1b	ZW307/15	Zimbabwe	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	6690
MF425810	592	AL_Cosmopolitan_AF1b	ZW427/15	Zimbabwe	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	6757
MF425812	592	AL_Cosmopolitan_AF1b	ZW515/15	Zimbabwe	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	Eastern Africa	6798
KY681360	592	AL_Cosmopolitan_AF1b	07/462	South Africa	2007	Canis lupus familiaris	Cosmopolitan_Clade	G	Southern Africa	0
KY681398	592	AL_Cosmopolitan_AF1b	15/286	South Africa	2015	Canis mesomelas	Cosmopolitan_Clade	G	Southern Africa	0
KY681410	592	AL_Cosmopolitan_AF1b	15/643	South Africa	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	Southern Africa	0
MH481710	1575	AL_Africa-2	IZSVe_18RD/666-4	Liberia	2017	Canis familiaris	AL_Africa-2	G	Western Africa	4554
MH267792	11884	AL_Cosmopolitan_CA1	CNIM1703	China	2017	Ovis aries	Cosmopolitan_Clade	WGS	Eastern Asia	0
MF765758	554	AL_Cosmopolitan		Liberia	2016	Canis familiaris	Cosmopolitan_Clade	N	Western Africa	0
KY860599	11924	AL_Cosmopolitan_ME2	sub5791	Turkey	2014	Canis familiaris	Cosmopolitan_Clade	WGS	Western Asia	4889
KY860613	11926	AL_Arctic_AL2	RV303	Russia	1989	Canis familiaris	Arctic_Clade	WGS	Eastern Europe	0
MG458310	11923	AL_Cosmopolitan_WE	RV1189	Serbia	1986	Bos taurus	Cosmopolitan_Clade	WGS	Southern Europe	0
MG458316	11923	AL_Cosmopolitan_AF4	RV2322	Egypt	1998	Canis familiaris	Cosmopolitan_Clade	WGS	Northern Africa	4848
MG458318	11918	AL_Cosmopolitan_AF1b	RV2481	South Africa	2008	Homo sapiens	Cosmopolitan_Clade	WGS	Southern Africa	0
MG458320	11927	AL_Arctic_AL1a	RV2924	Nepal	2012	Homo sapiens	Arctic_Clade	WGS	Southern Asia	0
KY553255	1353	AL_Africa-3	RV1044	Zimbabwe	1994	Civettictis civetta	AL_Africa-3	N	Eastern Africa	0
KY553266	1353	AL_Africa-3	19671	Zimbabwe	1991	Civettictis civetta	AL_Africa-3	N	Eastern Africa	0
KY553267	1353	AL_Cosmopolitan_AF1b	20246	Zimbabwe	1992	Civettictis civetta	Cosmopolitan_Clade	N	Eastern Africa	0
KY553269	1353	AL_Cosmopolitan_AF1b	20639	Zimbabwe	1992	Civettictis civetta	Cosmopolitan_Clade	N	Eastern Africa	0
KY553270	1353	AL_Cosmopolitan_AF1b	22319	Zimbabwe	1994	Civettictis civetta	Cosmopolitan_Clade	N	Eastern Africa	6319
KY553271	1353	AL_Cosmopolitan_AF1b	22759	Zimbabwe	1994	Civettictis civetta	Cosmopolitan_Clade	N	Eastern Africa	0
KY553272	1353	AL_Cosmopolitan_AF1b	RV589	Zimbabwe	1992	Mellivora capensis	Cosmopolitan_Clade	N	Eastern Africa	6317
KY553274	1575	AL_Cosmopolitan_AF1b	150_05G	South Africa	2005	Civettictis civetta	Cosmopolitan_Clade	G	Southern Africa	7549
KY553275	1575	AL_Cosmopolitan_AF1b	834_06G	South Africa	2006	Civettictis civetta	Cosmopolitan_Clade	G	Southern Africa	7544
KY553277	1575	AL_Cosmopolitan_AF1b	955_97G	South Africa	1997	Civettictis civetta	Cosmopolitan_Clade	G	Southern Africa	0
KY553278	1575	AL_Africa-3	19671G	Zimbabwe	1991	Civettictis civetta	AL_Africa-3	G	Eastern Africa	4713
KY553279	1575	AL_Cosmopolitan_AF1b	20607G	Zimbabwe	1992	mongoose	Cosmopolitan_Clade	G	Eastern Africa	0
KY553280	1575	AL_Cosmopolitan_AF1b	RV332G	Zimbabwe	1990	Civettictis civetta	Cosmopolitan_Clade	G	Eastern Africa	0
KY553281	1575	AL_Cosmopolitan_AF1b	RV511G	South Africa	1991	Civettictis civetta	Cosmopolitan_Clade	G	Southern Africa	7546
KY553282	1575	AL_Cosmopolitan_AF1b	RV589G	Zimbabwe	1991	Mellivora capensis	Cosmopolitan_Clade	G	Eastern Africa	0
MF538629	1353	AL_Africa-2	15041TCH	Chad	2014	Canis familiaris	AL_Africa-2	N	Middle Africa	0
MF538631	1353	AL_Africa-2	15044TCH	Chad	2015	Canis familiaris	AL_Africa-2	N	Middle Africa	4173
KY210228	11856	AL_Cosmopolitan_AF1b	rv2866	Tanzania	2011	Capra hircus	Cosmopolitan_Clade	WGS	Eastern Africa	0
KY210234	11914	AL_Cosmopolitan_AF1b	rv2878	Tanzania	2011	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	7798
KY210254	11922	AL_Cosmopolitan_AF1b	rv3059	Tanzania	2013	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	7458
KY210269	11923	AL_Cosmopolitan_AF1b	rv3079	Tanzania	2013	Canis familiaris	Cosmopolitan_Clade	WGS	Eastern Africa	7465
KY210275	11914	AL_Cosmopolitan_AF1b	rv3087	Tanzania	2013	Bos taurus	Cosmopolitan_Clade	WGS	Eastern Africa	0
MF537548	1040	AL_Cosmopolitan_AF1a	12V-3708_CEN_YAO	Cameroon	2012	Canis lupus familiaris	Cosmopolitan_Clade	N	Middle Africa	4988
MF537575	1040	AL_Cosmopolitan_AF1b	14V-4292_EAS_GAR	Cameroon	2014	Canis lupus familiaris	Cosmopolitan_Clade	N	Middle Africa	0
MF537576	1040	AL_Africa-2	14V-1960_NOW_KUM	Cameroon	2014	Canis lupus familiaris	AL_Africa-2	N	Middle Africa	4292
MF197280	592	AL_Cosmopolitan_AF1b	14/392	South Africa	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Southern Africa	6880
MF197287	592	AL_Cosmopolitan_AF1b	201/12	Lesotho	2012	Bos taurus	Cosmopolitan_Clade	G	Southern Africa	0
MF197288	592	AL_Cosmopolitan_AF1b	190/12	Lesotho	2012	Capra hircus	Cosmopolitan_Clade	G	Southern Africa	0
MF197289	592	AL_Cosmopolitan_AF1b	151/12	Lesotho	2012	Canis lupus familiaris	Cosmopolitan_Clade	G	Southern Africa	0
MF197292	592	AL_Cosmopolitan_AF1b	137/13	Lesotho	2013	30270887	Cosmopolitan_Clade	G	Southern Africa	6917
MF197294	592	AL_Cosmopolitan_AF1b	07/13	Lesotho	2013	Bos taurus	Cosmopolitan_Clade	G	Southern Africa	0
MF197296	592	AL_Cosmopolitan_AF1b	99/14	Lesotho	2014	Canis lupus familiaris	Cosmopolitan_Clade	G	Southern Africa	6923
MF197298	592	AL_Cosmopolitan_AF1b	08/14	Lesotho	2014	Bos taurus	Cosmopolitan_Clade	G	Southern Africa	6929
MF197301	592	AL_Cosmopolitan_AF1b	45a/14	Lesotho	2014	Bos taurus	Cosmopolitan_Clade	G	Southern Africa	6927
MF197303	592	AL_Cosmopolitan_AF1b	21/15	Lesotho	2015	Bos taurus	Cosmopolitan_Clade	G	Southern Africa	0
MF197305	592	AL_Cosmopolitan_AF1b	17/15	Lesotho	2015	Canis lupus familiaris	Cosmopolitan_Clade	G	Southern Africa	6937
MF197306	592	AL_Cosmopolitan_AF1b	30/15	Lesotho	2015	Ovis aries	Cosmopolitan_Clade	G	Southern Africa	0
MF197307	592	AL_Cosmopolitan_AF1b	22/16	Lesotho	2016	Bos taurus	Cosmopolitan_Clade	G	Southern Africa	0
KY563715	1575	AL_Cosmopolitan_AF1b	22547	Zimbabwe	1994	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	6651
KY563716	1575	AL_Cosmopolitan_AF1b	22759	Zimbabwe	1994	Civettictis civetta	Cosmopolitan_Clade	G	Eastern Africa	0
KT892003	541	AL_Cosmopolitan_AF1b	556-12	South Africa	2012	Canis familiaris	Cosmopolitan_Clade	N	Southern Africa	0
KM262037	592	AL_Cosmopolitan_AF1b	MOZdg298.93	Mozambique	1993	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
KM262040	592	AL_Cosmopolitan_AF1b	MOZdg633.00	Mozambique	2000	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
KM262041	592	AL_Cosmopolitan_AF1b	MOZdg315.04	Mozambique	2004	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
KM262044	592	AL_Cosmopolitan_AF1b	MOZdg659.05	Mozambique	2005	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	0
KM262045	592	AL_Cosmopolitan_AF1b	MOZdg687.05	Mozambique	2005	Canis familiaris	Cosmopolitan_Clade	G	Eastern Africa	6815
KM262046	592	AL_Cosmopolitan_AF1b	MOZfel131.12	Mozambique	2012	Felis catus	Cosmopolitan_Clade	G	Eastern Africa	0
KM262048	592	AL_Cosmopolitan_AF1b	MOZbov1018.12	Mozambique	2012	Bos taurus	Cosmopolitan_Clade	G	Eastern Africa	6826
KX148102	11922	AL_Cosmopolitan_AM2a	91026MEX	Mexico	1991	Canis familiaris	Cosmopolitan_Clade	WGS	Central America	4836
